topic1,topic2,topic3,topic4,topic5
mask,cdc,vaccine,#covid19,can
people,people,covid,please,virus
masks,stop,people,us,get
get,trump,vaccines,test,use
vaccinated,ğŸ˜‚,get,testing,like
can,just,cdc,can,ğŸ‘‡
wear,now,deaths,help,one
just,us,know,covid-19,god
still,ğŸ¤£,virus,health,help
need,fuck,flu,#coronavirus,ğŸ˜·
wearing,know,cases,need,people
now,trust,data,new,pain
go,science,immunity,travel,covid-19
going,like,covid-19,public,hands
work,government,can,states,please
like,lies,vaccinated,coronavirus,water
kids,say,long,tests,patients
covid,ğŸ¤¡,many,cases,wash
virus,tell,shot,tested,coronavirus
know,one,death,now,air
one,ğŸ–•,natural,people,cure
back,go,rate,china,ğŸ”¥
vaccine,credibility,year,days,thank
everyone,believe,delta,spread,thc
spread,shit,getting,state,food
stop,can,variant,usa,also
even,lying,test,workers,good
school,right,just,guidelines,eat
want,want,study,care,2
us,u,one,quarantine,vaping
make,get,now,pandemic,thanks
getting,going,risk,cdc,used
sick,fauci,still,ban,corona
children,lost,1,guidance,disease
home,take,months,home,health
time,control,also,contact,just
keep,truth,effects,#cdc,blood
schools,anything,new,symptoms,using
fully,americans,like,time,chicken
take,guys,last,countries,cause
please,fear,immune,2,1
social,nothing,vaccination,medical,products
stay,never,even,patients,life
face,american,2,information,kill
think,political,years,positive,ğŸš¨
got,think,us,get,ğŸ‡ºğŸ‡¸
protect,need,died,#covid,may
safe,world,side,country,clean
say,america,got,healthcare,cancer
way,country,effective,americans,make
many,health,women,community,every
right,really,numbers,many,better
distancing,bullshit,pregnant,risk,time
tell,joke,children,u.s,body
cdc,real,j,needs,johnson
really,bs,need,world,ğŸ™
year,hell,antibodies,infected,evil
good,fucking,since,s,true
without,oh,show,must,doctors
around,president,take,cruise,ğŸ‘
never,lives,infection,available,vitamin
enough,lie,studies,de,system
others,lol,+,today,now
6,y'all,science,united,ğŸ–•ğŸ¼
open,let,vax,work,4
well,anymore,already,+,hand
person,time,less,make,c
let,job,=,update,check
someone,many,pfizer,website,w
public,covid,fda,3,human
see,stupid,number,american,know
2,organization,evidence,hospitals,said
said,pandemic,3,1,d
yet,dr,may,day,e
spreading,propaganda,experimental,data,black
family,money,safe,lives,covid19
mandate,fake,million,learn,lung
sense,inclusive,yet,kits,smoking
better,use,see,protect,free
unvaccinated,shame,system,use,ğŸ‘
put,wrong,shots,see,share
also,ever,experts,hospital,public
away,information,disease,info,drug
risk,trying,positive,national,eating
live,border,first,4,made
already,public,stop,allow,nicotine
day,biden,19,may,way
help,work,variants,updated,best
feet,instead,dose,report,â¤
saying,much,please,open,video
anyone,ğŸ™„,much,says,day
since,good,age,thank,need
sure,f,approved,high,ğŸ‘ˆ
teachers,shut,days,since,3
life,corrupt,population,done,years
guidelines,virus,symptoms,#covid_19,take
continue,big,booster,citizens,treatment
thing,even,time,virus,caused
told,listen,tested,first,viruses
thanks,make,fact,dogs,ğŸ¤”
